Nested Sampling Global Log-Evidence           :   -0.267481227039800515E+02  +/-    0.916954630643863483E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.267481227039800515E+02 +/-    0.916954630643863344E-01
Local Log-Evidence   -0.267481227039800515E+02 +/-    0.916954630643863483E-01

Dim No.       Mean        Sigma
   1    0.194972505676847457E+00    0.523615488510730739E-01
   2    0.725070807785874599E-01    0.416677488419004149E-01
   3    0.531064813596067040E+02    0.649754697596773956E+00
   4    0.142810519779980133E+00    0.744822826004094690E-01
   5    0.232228560745963819E+00    0.146979333295571557E+00
   6   -0.117534544840474386E+01    0.918521795821639842E+00
   7    0.240551168193655851E+01    0.113532320487681748E+00
   8   -0.169670794950597170E+00    0.149645694849945166E+00
   9   -0.459872768386660891E+01    0.919609963512058926E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.196822616147883989E+00
   2    0.735190265251110808E-01
   3    0.523547484149979852E+02
   4    0.917602291332019343E-01
   5    0.140041366584147620E+00
   6   -0.721606531523248940E+00
   7    0.212792786928376465E+01
   8   -0.860636006407027310E-01
   9   -0.325694147101707987E+01

MAP Parameters
Dim No.        Parameter
   1    0.196822616147883989E+00
   2    0.735190265251110808E-01
   3    0.523547484149979852E+02
   4    0.917602291332019343E-01
   5    0.140041366584147620E+00
   6   -0.721606531523248940E+00
   7    0.212792786928376465E+01
   8   -0.860636006407027310E-01
   9   -0.325694147101707987E+01
