supernova_mag_boost supernova_mag_stretch inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B timeshift em_syserr luminosity_distance Ebv log_likelihood log_prior
1.1695091197238394 1.394941868995712 0.07952691680517532 56.12748092104576 0.2908884020062193 -0.11270310095567382 2.4803388875041223 -2.7600864862020096 -5.961791516913936 0.0 0.5 1981.0 0.0 -36.571478938764095 -10.861834347189024
1.0382379877763643 0.7191753522838151 0.12394557542084707 55.74674476802984 0.30743377850462034 -2.157505733668508 2.8436706610205187 -3.5250142341538466 -1.8949007738241779 0.0 0.5 1981.0 0.0 -32.7081088916139 -10.861834347189024
1.2889867071690118 1.0800465488708348 0.014594049396893365 55.924294104143975 0.1736137851809369 0.9892708574668116 2.497219437735325 -1.8433309864171714 -7.819378216590337 0.0 0.5 1981.0 0.0 -32.59932611276345 -10.861834347189024
0.47613484895084746 0.6702449453067811 0.06040788740542276 55.85984981121126 0.19909362088399565 -1.6977127885697092 2.6910982849537373 -2.0211572797918045 -5.802727887330264 0.0 0.5 1981.0 0.0 -31.76502620793923 -10.861834347189024
1.500560828093409 0.7811446549219809 0.13161327457855337 54.504078114503315 0.2473297464772521 -4.049453153608371 2.774807133803515 -0.8902745785835906 -4.193657637242105 0.0 0.5 1981.0 0.0 -31.584177239690398 -10.861834347189024
1.0185946023676564 0.5682325748322969 0.09252653963574961 54.28657125283077 0.19207948557028756 -0.28882725876345017 2.3354343158507707 -2.9895622381023985 -2.9215121451886645 0.0 0.5 1981.0 0.0 -31.396600015960633 -10.861834347189024
1.169967203401412 0.8055681400002243 0.10031613311058403 55.59536278337494 0.2747668605191643 -0.958588312423962 2.630093238050095 -3.3449972116000026 -3.465763075815696 0.0 0.5 1981.0 0.0 -31.147442343318627 -10.861834347189024
0.5114794110661389 0.8407774033304369 0.21267338655593157 52.68848343319371 0.2799606192017652 0.41098698654864485 2.982088034746931 -0.6060571071703942 -4.194732161424341 0.0 0.5 1981.0 0.0 -30.977085633012468 -10.861834347189024
0.3811496068794753 0.6397733886049399 0.05023432503084075 54.69214976155986 0.17070656692588443 -3.9019469064137575 2.8924495025079837 -0.4294697093691848 -5.555983973146162 0.0 0.5 1981.0 0.0 -30.550376594435207 -10.861834347189024
1.1455999644392412 0.8545612466656386 0.05583608456603308 54.72786945660305 0.28445935536052086 2.413547249537995 2.232946238792489 -1.386566046484805 -7.830023521409414 0.0 0.5 1981.0 0.0 -30.509470515567223 -10.861834347189024
