supernova_mag_boost supernova_mag_stretch inclination_EM log10_E0 thetaCore thetaWing b log10_n0 p log10_epsilon_e log10_epsilon_B timeshift em_syserr luminosity_distance Ebv log_likelihood log_prior
0.4761543746835546 3.9633539693747886 0.10624405229238383 52.366029711777635 0.219200603299136 0.37636555054376875 1.608314162786807 -0.1367557227161429 2.060905479640251 -0.6622800963482094 -3.280456460520586 0.0 1.0 1981.0 0.0 -64.78554790142813 -12.538977136456875
1.8575643667396022 2.875756619746763 0.3835723439033645 56.799762703562436 0.26294719911193726 0.6782199888990913 6.749689208769388 -3.104931404496029 2.546076698150202 -0.08792225026965905 -9.361696419211404 0.0 1.0 1981.0 0.0 -64.32364176606744 -12.538977136456875
2.1564793541989324 0.3409544142640244 0.034861792675459705 56.03441043614322 0.23692093166539974 0.22465584709159786 1.9580227247807938 -4.867478581847647 2.421228251156263 -2.769523209790647 -2.9140652657700237 0.0 1.0 1981.0 0.0 -63.750191388694155 -12.538977136456875
3.615241244967205 3.2110283889376334 0.1750771232051988 55.803490064536774 0.05760353771961653 0.7050630231183502 5.3741123696069995 -2.0019252654552875 2.072298030382358 -3.167767711750009 -2.0908157995375865 0.0 1.0 1981.0 0.0 -63.22330891938667 -12.538977136456875
2.6283030700873233 4.200593751398614 0.27433408592621594 55.87587358815025 0.2652132536143098 0.458871930410307 5.559486513511318 -3.244452648476969 2.454310548600674 -0.7242574756909272 -6.896192025588565 0.0 1.0 1981.0 0.0 -63.18860386313498 -12.538977136456875
0.35316944122314453 2.0828844606876373 0.08450713642715016 54.71547615528107 0.28637556161810857 0.6436854243134822 3.0997068703174593 -0.4267580509185791 2.038551310300827 -3.738829493522644 -2.3181122541427612 0.0 1.0 1981.0 0.0 -63.126666677301536 -12.538977136456875
1.895557610011994 3.613765815934616 0.344471956134313 56.85899095135464 0.2140004114131318 0.7152460432734301 4.589584678500644 -3.255517612647012 2.4943267980528727 -3.413160362094836 -3.223036351978025 0.0 1.0 1981.0 0.0 -62.987171650828245 -12.538977136456875
0.8150962215708413 2.5260393690322998 0.20429923711479187 54.15361032687076 0.22590857606046086 0.7214526632667451 2.5387101081668706 0.5598355520306377 2.3571463598461886 -2.427168584044307 -3.9766153748812316 0.0 1.0 1981.0 0.0 -62.87826103519179 -12.538977136456875
0.9392491796371782 0.8895778916684671 0.13886945253574726 56.14025237380172 0.2374849910228086 0.6024537907365669 6.677834067835055 -2.164516812104155 2.185000423427435 -0.1467711713736506 -9.503791866641189 0.0 1.0 1981.0 0.0 -62.82852976613563 -12.538977136456875
1.7421898308656658 2.770679523840271 0.19596221420186286 56.143078535771195 0.2389174285787303 0.5665773567500498 3.316888714354116 -3.274311434810602 2.368009196745877 -4.581050471727936 -0.9867066303167658 0.0 1.0 1981.0 0.0 -62.70641172144379 -12.538977136456875
