Nested Sampling Global Log-Evidence           :   -0.262165746082657378E+02  +/-    0.102606197367101415E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           2


Mode   1
Strictly Local Log-Evidence   -0.262165746082688322E+02 +/-    0.103571565374573474E+00
Local Log-Evidence   -0.262165746082660860E+02 +/-    0.102606197367130794E+00

Dim No.       Mean        Sigma
   1    0.831678294992847067E+00    0.682824091789696053E-01
   2    0.704462571567318063E+00    0.287949355177697201E-01
   3    0.165286495759464136E+00    0.328346413710301974E-01
   4    0.168389835190829007E+00    0.488934608580525454E-01
   5    0.547034436716850294E+02    0.894291897980556527E+00
   6    0.228043863469990588E+00    0.612805280252834914E-01
   7    0.151831595255580565E+01    0.120566928715223454E+01
   8    0.244280691765146152E+01    0.260256379688290594E-01
   9   -0.851010356447216343E+00    0.629401473230150610E+00
  10   -0.772759639887848682E+01    0.125070095160601502E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.836626490822418134E+00
   2    0.711058376235291889E+00
   3    0.140737499304582431E+00
   4    0.227457613947263521E+00
   5    0.542471256551071761E+02
   6    0.308676708069533956E+00
   7    0.234343037894292650E+01
   8    0.242993160753872850E+01
   9   -0.956833801444238574E+00
  10   -0.729224879032516071E+01

MAP Parameters
Dim No.        Parameter
   1    0.836626490822418134E+00
   2    0.711058376235291889E+00
   3    0.140737499304582431E+00
   4    0.227457613947263521E+00
   5    0.542471256551071761E+02
   6    0.308676708069533956E+00
   7    0.234343037894292650E+01
   8    0.242993160753872850E+01
   9   -0.956833801444238574E+00
  10   -0.729224879032516071E+01


Mode   2
Strictly Local Log-Evidence   -0.549066367262781796E+02 +/-    0.657454985439250628E+00
Local Log-Evidence   -0.547656623920922314E+02 +/-    0.873344635248521628E-01

Dim No.       Mean        Sigma
   1    0.135626243485166331E+00    0.157522908538138384E+00
   2    0.459582149982376276E+01    0.356965093831174030E+00
   3    0.389006137810614883E+00    0.273120991652172282E-01
   4    0.647721574715841297E-01    0.461022372419873788E-01
   5    0.556555135094658837E+02    0.838239732550013827E+00
   6    0.170183481375320050E+00    0.723024263255677146E-01
   7   -0.267277028396364624E+01    0.198454328738686647E+01
   8    0.249452083974628991E+01    0.278316263615543645E-01
   9   -0.160859815069929390E+01    0.836709022968327609E+00
  10   -0.566461710191212919E+01    0.185709842789719382E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.148082152728306937E+00
   2    0.480617824747459732E+01
   3    0.384914086467841754E+00
   4    0.759811426351977154E-01
   5    0.557200712542759220E+02
   6    0.900983245702131619E-01
   7   -0.165721688092366293E+01
   8    0.243070372995493544E+01
   9   -0.164224198697797075E+01
  10   -0.625978691511123575E+01

MAP Parameters
Dim No.        Parameter
   1    0.389735215002897206E+00
   2    0.344267887876387846E+01
   3    0.387888666286720696E+00
   4    0.159880072854136968E+00
   5    0.549659762107049445E+02
   6    0.281836395824053898E+00
   7   -0.378843010866833696E+01
   8    0.251242636359755744E+01
   9   -0.266194462885250616E+00
  10   -0.628176299848729336E+01
