Nested Sampling Global Log-Evidence           :   -0.593178386191472455E+02  +/-    0.112774466115550212E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           3


Mode   1
Strictly Local Log-Evidence   -0.613624552938547438E+02 +/-    0.130818960562374853E+00
Local Log-Evidence   -0.594106729929834074E+02 +/-    0.111865864977474125E+00

Dim No.       Mean        Sigma
   1    0.789531932941386350E+00    0.647203436891903433E-01
   2    0.713661577698894933E+00    0.291392503238014321E-01
   3    0.301604289454446617E+00    0.253926290800098944E-01
   4    0.734033503070745108E-01    0.123845339898378433E-01
   5    0.523065394606069134E+02    0.847313601663479965E-01
   6    0.125431949334971121E+00    0.186499041446773171E-01
   7   -0.860376862918880825E+00    0.452006694873118509E+00
   8    0.210855840100482395E+01    0.281360879935317540E-01
   9   -0.557451999397992684E-01    0.521605471252902728E-01
  10   -0.338800356735388153E+01    0.348245469213719350E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.837249358425577128E+00
   2    0.708000113560824262E+00
   3    0.281250096847937947E+00
   4    0.824115574583048349E-01
   5    0.522279417831592099E+02
   6    0.135794954343504803E+00
   7   -0.673889765749781766E+00
   8    0.210897658318461367E+01
   9   -0.137755796619565274E-02
  10   -0.347171185581731212E+01

MAP Parameters
Dim No.        Parameter
   1    0.837249358425577128E+00
   2    0.708000113560824262E+00
   3    0.281250096847937947E+00
   4    0.824115574583048349E-01
   5    0.522279417831592099E+02
   6    0.135794954343504803E+00
   7   -0.673889765749781766E+00
   8    0.210897658318461367E+01
   9   -0.137755796619565274E-02
  10   -0.347171185581731212E+01


Mode   2
Strictly Local Log-Evidence   -0.641258167305174709E+02 +/-    0.421188021042273930E+00
Local Log-Evidence   -0.617408351155488262E+02 +/-    0.108558919982497240E+00

Dim No.       Mean        Sigma
   1    0.687295303720381501E+00    0.347690873967965997E-01
   2    0.688819104715500563E+00    0.191813099226149711E-01
   3    0.293820715963266199E+00    0.169840422876738791E-01
   4    0.533539359038197394E-01    0.106944939996602238E-01
   5    0.530517050027223718E+02    0.280205723669036066E+00
   6    0.938507666068279511E-01    0.179046853613298619E-01
   7   -0.937272431807518402E+00    0.477707682140541212E+00
   8    0.229381857517689980E+01    0.145759836021976414E-01
   9   -0.106089980010926788E+00    0.951118459324997167E-01
  10   -0.485821023345867076E+01    0.453795953296063870E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.669236409649215602E+00
   2    0.708255693614419202E+00
   3    0.305129265200523858E+00
   4    0.772157930385841129E-01
   5    0.526802487296172899E+02
   6    0.125779022124319240E+00
   7   -0.109076743074066229E+00
   8    0.228207413491313105E+01
   9   -0.298855489037652688E-02
  10   -0.485184736649689796E+01

MAP Parameters
Dim No.        Parameter
   1    0.669236409649215602E+00
   2    0.708255693614419202E+00
   3    0.305129265200523858E+00
   4    0.772157930385841129E-01
   5    0.526802487296172899E+02
   6    0.125779022124319240E+00
   7   -0.109076743074066229E+00
   8    0.228207413491313105E+01
   9   -0.298855489037652688E-02
  10   -0.485184736649689796E+01


Mode   3
Strictly Local Log-Evidence   -0.781793587169280073E+02 +/-    0.101978590264285418E+01
Local Log-Evidence   -0.781309627152646584E+02 +/-    0.106842846874844868E+00

Dim No.       Mean        Sigma
   1   -0.107766268315401370E+00    0.189557288920711969E+00
   2    0.432026176477358614E+01    0.491327787334571053E+00
   3    0.483452439822391111E+00    0.417645743854432316E-01
   4    0.763621656745266386E-01    0.189625927197061873E-01
   5    0.523341769745082246E+02    0.175694347863729117E+00
   6    0.120490241567352066E+00    0.260388874247524001E-01
   7   -0.129609037888564704E+01    0.578072221454547508E+00
   8    0.209724209189380995E+01    0.398400618731801839E-01
   9   -0.105931727550955659E+00    0.701282024357850059E-01
  10   -0.299796974808137895E+01    0.484125706994455840E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.987724544575918628E-02
   2    0.472693568949306009E+01
   3    0.451690057787992316E+00
   4    0.756925235953307962E-01
   5    0.522198712571701762E+02
   6    0.118845489338932755E+00
   7   -0.162454684931858662E+01
   8    0.208999773422513702E+01
   9   -0.900655001895964702E-01
  10   -0.262637071789248022E+01

MAP Parameters
Dim No.        Parameter
   1   -0.987724544575918628E-02
   2    0.472693568949306009E+01
   3    0.451690057787992316E+00
   4    0.756925235953307962E-01
   5    0.522198712571701762E+02
   6    0.118845489338932755E+00
   7   -0.162454684931858662E+01
   8    0.208999773422513702E+01
   9   -0.900655001895964702E-01
  10   -0.262637071789248022E+01
