supernova_mag_boost supernova_mag_stretch em_syserr inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B timeshift luminosity_distance Ebv log_likelihood log_prior
-3.7676868690321386 3.702355620057219 0.4422834420111505 0.09993667241447382 53.259214861425676 0.198649606435788 -1.1016600120733786 2.10267922312321 -0.9278598247285128 -4.331265555936267 0.0 1981.0 0.0 -37.64407219663053 -11.713419308417762
-3.8930642167956644 1.1916594993659688 0.6628456811146413 0.11993339774894943 53.55949712878728 0.11711966730144095 -0.859342172547664 2.3480513719969607 -1.0588621316583238 -2.8947876971744417 0.0 1981.0 0.0 -36.64528452176586 -12.118010564941958
-1.9733145427981298 0.4286164936287967 0.42884564760729776 0.10228949344054708 56.104572233545056 0.2424613849670021 1.0841199666641126 2.3106136608510184 -3.3117561851765602 -3.607192883013547 0.0 1981.0 0.0 -36.41193431927739 -11.682565418747142
-3.45446425864103 3.4240199431459377 0.4289849554176099 0.14191404869996382 55.8791900248317 0.25097972461023155 2.92728770669485 2.2896854493210532 -3.2273716518186957 -5.177331936461495 0.0 1981.0 0.0 -35.899436470481305 -11.682890209704812
-3.018431268988156 1.178767040070966 0.29042227021895556 0.004075806923186846 55.46640762211388 0.1967431509807028 2.3854410488493194 2.3642766959426518 -2.7304586990944917 -3.5218192861298387 0.0 1981.0 0.0 -35.77698981282317 -11.292804328440408
3.524793847780403 0.984889333417263 0.6653666446666913 0.12285202500358094 55.173257444514284 0.2067802786372777 -5.481357866546439 2.5993543959969196 -0.26392157676771166 -5.4687982858279085 0.0 1981.0 0.0 -35.696454951152916 -12.121806594432634
-1.937729524382123 1.887829634895268 0.23749138007608994 0.09191590069165166 52.63856909367185 0.18189760426953466 -1.6374313491549612 2.187953971188663 -0.7662694497639659 -1.0533262304282367 0.0 1981.0 0.0 -35.27145553902784 -11.09159968874792
-1.2320536939271043 2.8713775392688725 0.6131182224610395 0.12415356314622839 54.00232288163048 0.22068472525025115 -2.1485678838113076 2.117613579313327 -1.9935341796787371 -1.1443129639102594 0.0 1981.0 0.0 -35.22462237672089 -12.040026136516829
0.35492073783967015 0.10568619424629798 0.44546583974244086 0.03446461291360403 56.63645765697015 0.24215239648542267 -0.21041315041714892 2.431923547186458 -3.376730736045183 -4.8699301985851475 0.0 1981.0 0.0 -35.19387292111599 -11.720588925851118
-1.115036397719507 2.6301308906753755 0.4848371967243654 0.12646034362951705 54.57588695777504 0.20969439471033327 -3.1630463345729187 2.3953041546427056 -2.0124340024381797 -2.5585079182668373 0.0 1981.0 0.0 -34.98250540696375 -11.805281518076761
2.009960947572253 1.4951835124697126 0.46630431871571043 0.1643163770930182 53.76413518360807 0.2805361261990746 -2.355026118508936 2.7833851190138574 -0.8403691628417116 -3.5346272743106146 0.0 1981.0 0.0 -34.90175260719886 -11.766306825787563
-0.3952224962314137 3.438836211061714 0.4984547559082075 0.0043037667821186985 56.059149254369586 0.16154085129243015 -3.2243512942877515 2.3181869028952367 -3.4795064873957893 -0.35103657840843283 0.0 1981.0 0.0 -34.890470275679654 -11.832981185166279
-3.7692033391985484 4.886410449080689 0.2825274368887188 0.12228253583708525 53.010013459199584 0.22771440452825084 -1.6314015523999723 2.0210578837464377 -0.5559663926139189 -3.049481875779799 0.0 1981.0 0.0 -34.87734496500388 -11.26524402794881
-0.38659504367467257 1.8918553434972045 0.5742977339632841 0.2948281996542989 56.85204183142634 0.3091115971727327 -0.08426340177779856 2.1966766055980953 -4.372905755769637 -2.7479749175561423 0.0 1981.0 0.0 -34.87589769825994 -11.974616322473885
4.718060070210145 2.9087538583441437 0.45455640755930005 0.06747673032065374 55.15765553618903 0.2644237861816511 2.6672784930574203 2.4348298749886905 -2.2901992768974773 -3.921553453780092 0.0 1981.0 0.0 -34.784560849668026 -11.740790375306354
