Nested Sampling Global Log-Evidence           :   -0.587327245568228378E+02  +/-    0.107089682110040108E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.587327245568228378E+02 +/-    0.107089682110040108E+00
Local Log-Evidence   -0.587327245568228378E+02 +/-    0.107089682110040108E+00

Dim No.       Mean        Sigma
   1    0.720849694044253142E+00    0.103060556658682773E+00
   2    0.699414731641906373E+00    0.420572208673122561E-01
   3    0.330484316480076479E+00    0.412010962940451975E-01
   4    0.426812879678676385E-01    0.256065381816445586E-01
   5    0.533782024783634412E+02    0.101177274566482600E+01
   6    0.741469900795824755E-01    0.407375231178075392E-01
   7   -0.205772797440276145E+01    0.136738818958495978E+01
   8    0.222857540719971770E+01    0.973035433598491012E-01
   9   -0.235781930381812888E+00    0.228894375249927978E+00
  10   -0.437058394931767413E+01    0.134309931094843527E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.727167791114915474E+00
   2    0.710302285935232369E+00
   3    0.295708531575561095E+00
   4    0.614353105367831318E-01
   5    0.522896076852894680E+02
   6    0.108989003778669741E+00
   7   -0.135885030653565941E+01
   8    0.206732447615735326E+01
   9   -0.246512909773510813E-02
  10   -0.294954811097476988E+01

MAP Parameters
Dim No.        Parameter
   1    0.727167791114915474E+00
   2    0.710302285935232369E+00
   3    0.295708531575561095E+00
   4    0.614353105367831318E-01
   5    0.522896076852894680E+02
   6    0.108989003778669741E+00
   7   -0.135885030653565941E+01
   8    0.206732447615735326E+01
   9   -0.246512909773510813E-02
  10   -0.294954811097476988E+01
