    0.383480760378474075E-01    0.197340996346520592E+04    0.551752276601548104E+02    0.176517342530393917E+00    0.507617638830975437E+00    0.212789497990882293E+01   -0.181873469075616123E+01   -0.651608900213572806E+01   -0.303375654114722444E+02
    0.847752896205279799E-01    0.198846645183227815E+04    0.537317605568976688E+02    0.122135484804525782E+00   -0.478026428811167392E+01    0.278807540038529478E+01   -0.137128884568016973E+01   -0.135920849681164846E+01   -0.277884280988540908E+02
    0.632746763984564781E-01    0.198875442618665284E+04    0.560459522324929438E+02    0.420812638009360473E-01   -0.806705170489200540E+00    0.260519948164048021E+01   -0.206604318976036794E+01   -0.505939364193200447E+01   -0.274339263318901700E+02
    0.489643963286144346E-01    0.197560448799673964E+04    0.550306070604963509E+02    0.190464860639498079E+00    0.237597432808308007E+01    0.249343311168682158E+01   -0.997543294275603287E+00   -0.796963702302192267E+01   -0.270970618756233570E+02
    0.119612784220271343E+00    0.198469455431330243E+04    0.552209032508105224E+02    0.178847772138940098E+00    0.127988795615009998E+01    0.213005949814184925E+01   -0.251205836102624414E+01   -0.649086923440594354E+01   -0.267913335607377192E+02
    0.605914037413918666E-01    0.199051503309552845E+04    0.558699833614527677E+02    0.223665162064849293E+00   -0.385832148156545562E+01    0.207108219057710707E+01   -0.470590020549467525E+00   -0.705561257382148987E+01   -0.264354162054001165E+02
    0.498372332019778111E-01    0.198449202771522300E+04    0.554837849236815188E+02    0.194476434340460969E+00    0.265245596761222657E+01    0.223574726555873804E+01   -0.220524934472446166E+01   -0.808954141376046643E+01   -0.263692006385933411E+02
    0.164818700103020882E+00    0.197595878968284705E+04    0.544948499714740748E+02    0.207840808182654796E+00   -0.308410434013424117E+01    0.210493590062983404E+01   -0.153152097640137708E+01   -0.407110346798550626E+01   -0.262786479571880278E+02
    0.449108751407996387E-01    0.198785015025825828E+04    0.523079071727933922E+02    0.230763381925514738E+00   -0.160637808046732200E+01    0.224714561936119539E+01   -0.460102219506495658E+00   -0.324943058544669672E+01   -0.261394029167804689E+02
    0.473235118615604120E-01    0.198019597090458706E+04    0.561397201866164011E+02    0.561369970169718208E-01   -0.266490132711116168E+01    0.223163273451553845E+01   -0.325655399892999853E+01   -0.435022764484565982E+01   -0.261234328694306228E+02
    0.202378384486301632E+00    0.198823627868190329E+04    0.558335411494547884E+02    0.269021204198025277E+00   -0.228791353495160354E+01    0.236676431109044572E+01   -0.486047993628245578E+00   -0.854006502870663198E+01   -0.258641825741610702E+02
