inclination_EM luminosity_distance log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B KNtimeshift Ebv log_likelihood log_prior
0.03834807603784741 1973.409963465206 55.17522766015481 0.17651734253039392 0.5076176388309754 2.127894979908823 -1.8187346907561612 -6.516089002135728 0.0 0.0 -30.337565411472244 -8.722355781978363
0.08477528962052798 1988.4664518322782 53.73176055689767 0.12213548480452578 -4.780264288111674 2.7880754003852948 -1.3712888456801697 -1.3592084968116485 0.0 0.0 -27.78842809885409 -8.571371201221687
0.06327467639845648 1988.7544261866528 56.045952232492944 0.04208126380093605 -0.8067051704892005 2.60519948164048 -2.066043189760368 -5.0593936419320045 0.0 0.0 -27.43392633189017 -8.395401979925747
0.048964396328614435 1975.6044879967396 55.03060706049635 0.19046486063949808 2.37597432808308 2.4934331116868216 -0.9975432942756033 -7.969637023021923 0.0 0.0 -27.097061875623357 -8.807821932586538
0.11961278422027134 1984.6945543133024 55.22090325081052 0.1788477721389401 1.2798879561501 2.1300594981418493 -2.512058361026244 -6.4908692344059435 0.0 0.0 -26.79133356073772 -8.935515074653349
0.06059140374139187 1990.5150330955285 55.86998336145277 0.2236651620648493 -3.8583214815654556 2.071082190577107 -0.4705900205494675 -7.05561257382149 0.0 0.0 -26.435416205400116 -8.971745317029804
0.04983723320197781 1984.492027715223 55.48378492368152 0.19447643434046097 2.6524559676122266 2.235747265558738 -2.2052493447244617 -8.089541413760466 0.0 0.0 -26.36920063859334 -8.828439596540907
0.16481870010302088 1975.958789682847 54.494849971474075 0.2078408081826548 -3.084104340134241 2.104935900629834 -1.531520976401377 -4.071103467985506 0.0 0.0 -26.278647957188028 -9.17638982649743
0.04491087514079964 1987.8501502582583 52.30790717279339 0.23076338192551474 -1.606378080467322 2.2471456193611954 -0.46010221950649566 -3.2494305854466967 0.0 0.0 -26.13940291678047 -8.985012402072083
0.04732351186156041 1980.195970904587 56.1397201866164 0.05613699701697182 -2.6649013271111617 2.2316327345155385 -3.2565539989299985 -4.35022764484566 0.0 0.0 -26.123432869430623 -7.908466801136418
0.20237838448630163 1988.2362786819033 55.83354114945479 0.2690212041980253 -2.2879135349516035 2.3667643110904457 -0.4860479936282456 -8.540065028706632 0.0 0.0 -25.86418257416107 -9.399584710938736
0.11030319529894418 1990.3343116895728 55.186286445573586 0.28778882934401706 1.0608188805969947 2.7895163886692895 -0.8430528974201756 -7.9750801715333886 0.0 0.0 -25.74101686022825 -9.254653532617585
0.021282599654874963 1987.6468498625677 54.08789694656735 0.26363588433867685 0.9632955887281289 2.2531156358762043 -0.4074226371047498 -7.735135051377737 0.0 0.0 -25.684871978663665 -9.100279107999032
