Nested Sampling Global Log-Evidence           :   -0.606747464508386614E+02  +/-    0.112119932152865073E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           2


Mode   1
Strictly Local Log-Evidence   -0.626840105417384379E+02 +/-    0.125466259904705141E+00
Local Log-Evidence   -0.607052660891752325E+02 +/-    0.111830043062548207E+00

Dim No.       Mean        Sigma
   1    0.787688026076730941E+00    0.670619551137364295E-01
   2    0.711195755805690721E+00    0.292002608366924814E-01
   3    0.311177116837215273E+00    0.260306979296545983E-01
   4    0.726086785878774649E-01    0.124206857397924902E-01
   5    0.523098821844633974E+02    0.868980002664401924E-01
   6    0.124109184327628685E+00    0.191418986408990813E-01
   7   -0.901734973708072873E+00    0.466613708738087718E+00
   8    0.210713546479671132E+01    0.277532065872083261E-01
   9   -0.612101950389926444E-01    0.577476247780322194E-01
  10   -0.335466104670448573E+01    0.354518901621372007E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.807361447919314301E+00
   2    0.720251620161595607E+00
   3    0.293864705173652985E+00
   4    0.694723087927182070E-01
   5    0.522680540199450263E+02
   6    0.123419903852178423E+00
   7   -0.961723397095442856E+00
   8    0.207810815360937573E+01
   9   -0.277143337290759462E-01
  10   -0.319370032341431909E+01

MAP Parameters
Dim No.        Parameter
   1    0.807361447919314301E+00
   2    0.720251620161595607E+00
   3    0.293864705173652985E+00
   4    0.694723087927182070E-01
   5    0.522680540199450263E+02
   6    0.123419903852178423E+00
   7   -0.961723397095442856E+00
   8    0.207810815360937573E+01
   9   -0.277143337290759462E-01
  10   -0.319370032341431909E+01


Mode   2
Strictly Local Log-Evidence   -0.666039971654125225E+02 +/-    0.728094812930595525E+00
Local Log-Evidence   -0.641793523826515298E+02 +/-    0.109435107499311277E+00

Dim No.       Mean        Sigma
   1    0.684733396002707773E+00    0.312191948771845459E-01
   2    0.686243133887221135E+00    0.164120914889275306E-01
   3    0.301729707413620596E+00    0.154848201763278567E-01
   4    0.528993979850348461E-01    0.128396044890406041E-01
   5    0.530849325862709236E+02    0.297737855240610139E+00
   6    0.924718667347479290E-01    0.199619265832261597E-01
   7   -0.977170100626935989E+00    0.517693622967967504E+00
   8    0.229024730257647358E+01    0.118928894002648024E-01
   9   -0.106208726782853730E+00    0.959599575758911805E-01
  10   -0.489121173369918427E+01    0.434642849110779217E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.620215965538549518E+00
   2    0.693489320614721239E+00
   3    0.291467928475127702E+00
   4    0.640133198661690939E-01
   5    0.528211198405869027E+02
   6    0.113880647289259479E+00
   7   -0.469565912263193219E+00
   8    0.228404482585623780E+01
   9   -0.226445902449086134E-01
  10   -0.488665997103270477E+01

MAP Parameters
Dim No.        Parameter
   1    0.620215965538549518E+00
   2    0.693489320614721239E+00
   3    0.291467928475127702E+00
   4    0.640133198661690939E-01
   5    0.528211198405869027E+02
   6    0.113880647289259479E+00
   7   -0.469565912263193219E+00
   8    0.228404482585623780E+01
   9   -0.226445902449086134E-01
  10   -0.488665997103270477E+01
